stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,in,type
CORD1,CORD1,CORDOARIA,,41.1464444733634,-8.61522219312027,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CORD1,True,bus
CORD3,CORD3,CORDOARIA,,41.1463860773766,-8.61521223485268,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CORD3,True,bus
CORD5,CORD5,CORDOARIA,,41.1461721311939,-8.61532061006743,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CORD5,True,bus
CORD4,CORD4,CORDOARIA,,41.1451110885692,-8.61619439750697,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CORD4,True,bus
CORD7,CORD7,CORDOARIA,,41.1452237192497,-8.61602608073269,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CORD7,True,bus
SLZ1,SLZ1,S. LÁZARO,,41.1455265452145,-8.60250756990213,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SLZ1,True,bus
CRVH1,CRVH1,CORDOARIA VELHA,,41.1479385618698,-8.65046235246066,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CRVH1,True,bus
CVI2,CVI2,CARVALHIDO,,41.1667499732589,-8.62524994840412,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CVI2,True,bus
PCL1,PCL1,PADRE LUIS CABRAL,,41.1518055810922,-8.66805554799815,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PCL1,True,bus
GC11,GC11,GOMES COSTA 1,,41.1616719211784,-8.65698756221216,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=GC11,True,bus
FOCO3,FOCO3,FOCO,,41.1610331140149,-8.64793196996537,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FOCO3,True,bus
PGM2,PGM2,PAULO DA GAMA,,41.1480468467105,-8.65728648510656,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PGM2,True,bus
LRD1,LRD1,LORDELO,,41.154388913035,-8.64902771034446,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LRD1,True,bus
PFOZ2,PFOZ2,PINHAIS DA FOZ,,41.1551445195727,-8.66326007592277,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PFOZ2,True,bus
PFOZ1,PFOZ1,PINHAIS DA FOZ,,41.1552499643262,-8.66308329782543,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PFOZ1,True,bus
LGO4,LGO4,LICEU GARCIA ORTA,,41.1615277398592,-8.66677782046248,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LGO4,True,bus
MF1,MF1,MARTIM FREITAS,,41.1741648749537,-8.66250328907683,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MF1,True,bus
PRCD3,PRCD3,PARQUE DA CIDADE,,41.1651064833907,-8.67121770096046,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PRCD3,True,bus
PRCD2,PRCD2,PARQUE CIDADE,,41.1657221616988,-8.67091664361759,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PRCD2,True,bus
PRCD1,PRCD1,PARQUE CIDADE,,41.1654562886506,-8.67073871431791,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PRCD1,True,bus
BARO1,BARO1,BAIRRO ANT. AROSO,,41.167897291531,-8.6695151846345,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BARO1,True,bus
PDVD4,PDVD4,PEDRA VERDE,,41.1728851305907,-8.66284927101512,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PDVD4,True,bus
IGAL1,IGAL1,IGREJA DE ALDOAR,,41.17008776155,-8.66641737733975,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=IGAL1,True,bus
PDVD3,PDVD3,PEDRA VERDE,,41.1726143982083,-8.66290249737098,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PDVD3,True,bus
LDD2,LDD2,LIDADOR,,41.1703065341663,-8.65748178273337,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LDD2,True,bus
TVLR2,TVLR2,TEATRO VILARINHA,,41.1732381506265,-8.67347467538393,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TVLR2,True,bus
LGO5,LGO5,LICEU GARCIA ORTA,,41.161472227166,-8.66636107379378,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LGO5,True,bus
CRRP2,CRRP2,CORREIA PINTO,,41.1688129950066,-8.65876439207002,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CRRP2,True,bus
FTM2,FTM2,FONTE DA MOURA,,41.164191487547,-8.66264612362605,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FTM2,True,bus
BFTM2,BFTM2,BR. FONTE DA MOURA,,41.1710853761469,-8.65845310977672,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BFTM2,True,bus
FTM4,FTM4,FONTE DA MOURA,,41.1637583932638,-8.66344462750878,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FTM4,True,bus
BRV2,BRV2,BAIRRO VILARINHA,,41.1672045428389,-8.66006758804244,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRV2,True,bus
LGO2,LGO2,LICEU GARCIA ORTA,,41.1644880787122,-8.66776284531726,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LGO2,True,bus
ESCN2,ESCN2,ESCOLA NORMAL,,41.1555143677945,-8.60252681207867,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ESCN2,True,bus
EIR3,EIR3,EIRINHAS,,41.1522021193943,-8.59223883716414,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EIR3,True,bus
BFM4,BFM4,BONFIM,,41.1505833533499,-8.59475001263672,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BFM4,True,bus
MAV2,MAV2,MONTE AVENTINO,,41.1631052472004,-8.5904444863076,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MAV2,True,bus
ASP4,ASP4,ASPRELA,,41.1821943964627,-8.59647218542059,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ASP4,True,bus
PREG1,PREG1,PESO DA RÉGUA,,41.1623076767468,-8.56951197983897,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PREG1,True,bus
CVLO2,CVLO2,COVELO,,41.1653737738053,-8.60588358431793,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CVLO2,True,bus
GGF,GGF,GUIL. G. FERNANDES,,41.1475602128653,-8.61476664888298,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=GGF,True,bus
CMO,CMO,CARMO,,41.1472276569054,-8.61695947381185,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CMO,True,bus
MIS3,MIS3,MIOSÓTIS,,41.1777851655039,-8.61906089348722,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIS3,True,bus
COLS,COLS,COLISEU DO PORTO,,41.1466110703925,-8.60469448708929,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=COLS,True,bus
PRDJ,PRDJ,PR. D. JOÃO I,,41.1475811967699,-8.60912607741907,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PRDJ,True,bus
TLHR3,TLHR3,R.TELHEIRA,,41.1778288427241,-8.61461084505317,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=TLHR3,True,bus
MIS4,MIS4,MIOSÓTIS,,41.1780621109676,-8.61898154826045,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MIS4,True,bus
BRA5,BRA5,BR. DO AMIAL,,41.1768333146696,-8.61999996143924,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BRA5,True,bus
JPAZ2,JPAZ2,JULGADO DE PAZ,,41.1756666401173,-8.64472226407109,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=JPAZ2,True,bus
RM4,RM4,RAMALDE DO MEIO,,41.1733333216516,-8.64213887205295,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RM4,True,bus
FRB,FRB,FRANCOS (BOMBEIROS),,41.1704711675065,-8.64292613473066,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FRB,True,bus
